time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
02:12.6,None,NaN,NaN,NaN,24.125,None
02:13.4,None,NaN,NaN,NaN,24.1875,None
02:14.1,None,NaN,NaN,NaN,24.1875,None
02:14.8,None,NaN,NaN,NaN,24.25,None
02:15.5,None,NaN,NaN,NaN,24.1875,None
02:16.3,None,NaN,NaN,NaN,24.1875,None
02:17.0,None,NaN,NaN,NaN,24.1875,None
02:17.7,None,NaN,NaN,NaN,24.1875,None
02:18.5,None,NaN,NaN,NaN,24.1875,None
02:19.2,None,NaN,NaN,NaN,24.1875,None
02:19.9,None,NaN,NaN,NaN,24.1875,None
02:20.7,None,NaN,NaN,NaN,24.1875,None
02:21.4,None,NaN,NaN,NaN,24.1875,None
02:22.1,None,NaN,NaN,NaN,24.1875,None
02:22.8,None,NaN,NaN,NaN,24.1875,None
02:23.6,None,NaN,NaN,NaN,24.1875,None
02:24.3,None,NaN,NaN,NaN,24.1875,None
02:25.0,None,NaN,NaN,NaN,24.1875,None
02:25.8,None,NaN,NaN,NaN,24.25,None
02:26.5,None,NaN,NaN,NaN,24.25,None
02:27.2,None,NaN,NaN,NaN,24.1875,None
02:27.9,None,NaN,NaN,NaN,24.1875,None
02:28.7,None,NaN,NaN,NaN,24.25,None
02:29.4,None,NaN,NaN,NaN,24.25,None
02:30.1,None,NaN,NaN,NaN,24.25,None
02:30.8,None,NaN,NaN,NaN,24.25,None
02:31.5,None,NaN,NaN,NaN,24.25,None
02:32.3,None,NaN,NaN,NaN,24.25,None
02:33.0,None,NaN,NaN,NaN,24.25,None
02:33.7,None,NaN,NaN,NaN,24.25,None
02:34.5,None,NaN,NaN,NaN,24.25,None
02:35.2,None,NaN,NaN,NaN,24.25,None
02:35.9,None,NaN,NaN,NaN,24.25,None
02:36.6,None,NaN,NaN,NaN,24.25,None
02:37.4,None,NaN,NaN,NaN,24.25,None
02:38.1,None,NaN,NaN,NaN,24.25,None
02:38.8,None,NaN,NaN,NaN,24.25,None
02:39.6,None,NaN,NaN,NaN,24.1875,None
02:40.3,None,NaN,NaN,NaN,24.25,None
02:41.0,None,NaN,NaN,NaN,24.25,None
02:41.7,None,NaN,NaN,NaN,24.25,None
02:42.4,None,NaN,NaN,NaN,24.25,None
02:43.2,None,NaN,NaN,NaN,24.3125,None
02:43.9,None,NaN,NaN,NaN,24.25,None
02:44.6,None,NaN,NaN,NaN,24.25,None
