time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
08:58.4,None,NaN,NaN,NaN,23.875,None
08:59.5,None,NaN,NaN,NaN,23.875,None
09:00.5,None,NaN,NaN,NaN,23.875,None
09:01.5,None,NaN,NaN,NaN,23.9375,None
09:02.5,None,NaN,NaN,NaN,23.9375,None
09:03.6,None,NaN,NaN,NaN,23.9375,None
09:04.5,None,NaN,NaN,NaN,23.9375,None
09:05.5,None,NaN,NaN,NaN,23.9375,None
09:06.5,None,NaN,NaN,NaN,23.875,None
09:07.6,None,NaN,NaN,NaN,23.875,None
09:08.5,None,NaN,NaN,NaN,23.9375,None
09:09.5,None,NaN,NaN,NaN,23.9375,None
09:10.5,None,NaN,NaN,NaN,23.9375,None
09:11.5,None,NaN,NaN,NaN,23.9375,None
09:12.5,None,NaN,NaN,NaN,23.875,None
09:13.5,None,NaN,NaN,NaN,23.875,None
09:14.5,None,NaN,NaN,NaN,23.9375,None
09:15.5,None,NaN,NaN,NaN,23.9375,None
09:16.6,None,NaN,NaN,NaN,23.9375,None
09:17.5,None,NaN,NaN,NaN,23.875,None
09:18.5,None,NaN,NaN,NaN,23.9375,None
09:19.5,None,NaN,NaN,NaN,23.875,None
09:20.5,None,NaN,NaN,NaN,23.9375,None
09:21.5,None,NaN,NaN,NaN,23.9375,None
09:22.5,None,NaN,NaN,NaN,23.9375,None
09:23.5,None,NaN,NaN,NaN,23.9375,None
09:24.5,None,NaN,NaN,NaN,23.9375,None
09:25.5,None,NaN,NaN,NaN,23.9375,None
09:26.5,None,NaN,NaN,NaN,23.9375,None
09:27.5,None,NaN,NaN,NaN,24,None
09:28.5,None,NaN,NaN,NaN,23.9375,None
09:29.6,None,NaN,NaN,NaN,23.9375,None
09:30.5,None,NaN,NaN,NaN,23.9375,None
09:31.5,None,NaN,NaN,NaN,23.9375,None
09:32.5,None,NaN,NaN,NaN,24,None
09:33.6,945,NaN,NaN,NaN,24,None
09:34.5,945,NaN,NaN,NaN,23.9375,None
09:35.5,None,NaN,NaN,NaN,23.9375,None
09:36.5,None,NaN,NaN,NaN,23.9375,None
09:37.5,None,NaN,NaN,NaN,23.9375,None
09:38.4,None,NaN,NaN,NaN,23.9375,None
09:39.5,None,NaN,NaN,NaN,24,None
09:40.5,None,NaN,NaN,NaN,23.9375,None
09:41.5,None,NaN,NaN,NaN,23.9375,None
09:42.5,None,NaN,NaN,NaN,24,None
09:43.5,None,NaN,NaN,NaN,23.9375,None
09:44.5,None,NaN,NaN,NaN,23.9375,None
09:45.5,None,NaN,NaN,NaN,24,None
09:46.6,None,NaN,NaN,NaN,23.9375,None
09:47.5,None,NaN,NaN,NaN,23.9375,None
09:48.5,None,NaN,NaN,NaN,24,None
09:49.5,None,NaN,NaN,NaN,24,None
09:50.6,None,NaN,NaN,NaN,24,None
09:51.5,None,NaN,NaN,NaN,24,None
09:52.5,None,NaN,NaN,NaN,24,None
09:53.5,None,NaN,NaN,NaN,23.9375,None
09:54.5,None,NaN,NaN,NaN,23.9375,None
09:55.5,None,NaN,NaN,NaN,23.9375,None
09:56.5,None,NaN,NaN,NaN,24,None
09:57.5,None,NaN,NaN,NaN,23.9375,None
09:58.5,None,NaN,NaN,NaN,24,None
09:59.5,None,NaN,NaN,NaN,24,None
10:00.5,None,NaN,NaN,NaN,23.9375,None
10:01.5,None,NaN,NaN,NaN,24,None
10:02.5,None,NaN,NaN,NaN,24,None
10:03.5,None,NaN,NaN,NaN,24,None
10:04.5,None,NaN,NaN,NaN,24,None
10:05.5,None,NaN,NaN,NaN,24,None
10:06.5,None,NaN,NaN,NaN,24,None
10:07.5,None,NaN,NaN,NaN,24,None
10:08.5,None,NaN,NaN,NaN,24,None
10:09.5,None,NaN,NaN,NaN,24,None
10:10.5,None,NaN,NaN,NaN,24,None
10:11.5,None,NaN,NaN,NaN,24,None
10:12.5,None,NaN,NaN,NaN,24,None
10:13.5,None,NaN,NaN,NaN,24.0625,None
10:14.5,None,NaN,NaN,NaN,24,None
10:15.5,None,NaN,NaN,NaN,24.0625,None
10:16.5,None,NaN,NaN,NaN,24,None
10:17.5,None,NaN,NaN,NaN,24,None
10:18.5,None,NaN,NaN,NaN,24.0625,None
10:19.5,None,NaN,NaN,NaN,24,None
10:20.5,None,NaN,NaN,NaN,24.0625,None
10:21.5,None,NaN,NaN,NaN,24,None
10:22.5,None,NaN,NaN,NaN,24.0625,None
10:23.5,None,NaN,NaN,NaN,24,None
10:24.5,None,NaN,NaN,NaN,24.0625,None
10:25.6,None,NaN,NaN,NaN,24.0625,None
