time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
01:46.5,None,NaN,NaN,NaN,26.125,None
01:49.5,None,NaN,NaN,NaN,26.125,None
01:52.5,None,NaN,NaN,NaN,26.125,None
01:55.5,None,NaN,NaN,NaN,26.125,None
01:58.4,None,NaN,NaN,NaN,26.0625,None
02:01.5,None,NaN,NaN,NaN,26.125,None
02:04.5,None,NaN,NaN,NaN,26.125,None
02:07.5,None,NaN,NaN,NaN,26.125,None
02:10.6,1065,NaN,NaN,NaN,26.125,None
02:13.5,1065.5,NaN,NaN,NaN,26.125,None
02:16.5,None,NaN,NaN,NaN,26.125,None
02:40.0,None,NaN,NaN,NaN,None,None
